"","Gn1","Gn2","interaction"
"126","Cymatogaster","Ophioplocus","eats"
"127","Cymatogaster","Ophioplocus","preysOn"
"128","Embiotoca","Ophiothrix","eats"
"129","Embiotoca","Ophiothrix","preysOn"
"130","Hypsurus","Ophiothrix","eats"
"131","Hypsurus","Ophiothrix","preysOn"
"132","Ophiothrix","Paralabrax","eatenBy"
"133","Ophiothrix","Paralabrax","preyedUponBy"
"134","Ophiothrix","Rhacochilus","eatenBy"
"135","Ophiothrix","Rhacochilus","preyedUponBy"
"136","Ophiothrix","Sebastes","eatenBy"
"137","Ophiothrix","Sebastes","preyedUponBy"
"138","Ophiothrix","Rhinogobiops","eatenBy"
"139","Ophiothrix","Rhinogobiops","preyedUponBy"
"140","Cymatogaster","Ophiothrix","eats"
"141","Cymatogaster","Ophiothrix","preysOn"
"142","Hypsypops","Pachycerianthus","eats"
"143","Hypsypops","Pachycerianthus","preysOn"
"144","Embiotoca","Strongylocentrotus","eats"
"145","Embiotoca","Strongylocentrotus","preysOn"
"146","Rhacochilus","Strongylocentrotus","eats"
"147","Rhacochilus","Strongylocentrotus","preysOn"
"148","Semicossyphus","Strongylocentrotus","interactsWith"
"149","Semicossyphus","Strongylocentrotus","eats"
"150","Semicossyphus","Strongylocentrotus","preysOn"
"151","Sebastes","Styela","eats"
"152","Sebastes","Styela","preysOn"
"153","Hypsypops","Tethya","eats"
"154","Hypsypops","Tethya","preysOn"
"155","Sebastes","Tethya","eats"
"156","Sebastes","Tethya","preysOn"
"157","Hypsypops","Urticina","eats"
"158","Hypsypops","Urticina","preysOn"
"159","Cancer","Embiotoca","interactsWith"
"160","Cancer","Embiotoca","eatenBy"
"161","Cancer","Embiotoca","preyedUponBy"
"162","Cancer","Hypsypops","eatenBy"
"163","Cancer","Hypsypops","preyedUponBy"
"164","Cancer","Paralabrax","eatenBy"
"165","Cancer","Paralabrax","preyedUponBy"
"166","Cancer","Rhacochilus","eatenBy"
"167","Cancer","Rhacochilus","preyedUponBy"
"168","Cancer","Sebastes","preyedUponBy"
"169","Cancer","Sebastes","eatenBy"
"170","Cancer","Semicossyphus","eatenBy"
"171","Cancer","Semicossyphus","preyedUponBy"
"172","Cancer","Heterostichus","eatenBy"
"173","Cancer","Heterostichus","preyedUponBy"
"174","Cancer","Oxylebius","eatenBy"
"175","Cancer","Oxylebius","preyedUponBy"
"176","Cancer","Cymatogaster","eats"
"177","Embiotoca","Loxorhynchus","eats"
"178","Embiotoca","Loxorhynchus","preysOn"
"179","Hypsurus","Loxorhynchus","eats"
"180","Hypsurus","Loxorhynchus","preysOn"
"181","Loxorhynchus","Paralabrax","eatenBy"
"182","Loxorhynchus","Paralabrax","preyedUponBy"
"183","Loxorhynchus","Rhacochilus","eatenBy"
"184","Loxorhynchus","Rhacochilus","preyedUponBy"
"185","Loxorhynchus","Sebastes","eatenBy"
"186","Loxorhynchus","Sebastes","preyedUponBy"
"187","Loxorhynchus","Semicossyphus","eatenBy"
"188","Loxorhynchus","Semicossyphus","preyedUponBy"
"189","Megathura","Oxyjulis","eatenBy"
"190","Megathura","Oxyjulis","preyedUponBy"
"191","Megathura","Sebastes","eatenBy"
"192","Megathura","Sebastes","preyedUponBy"
"193","Megathura","Semicossyphus","eatenBy"
"194","Megathura","Semicossyphus","preyedUponBy"
"195","Hypsypops","Muricea","eats"
"196","Hypsypops","Muricea","preysOn"
"197","Paralabrax","Parastichopus","eats"
"198","Paralabrax","Parastichopus","preysOn"
"199","Parastichopus","Sebastes","eatenBy"
"200","Parastichopus","Semicossyphus","preyedUponBy"
"201","Parastichopus","Semicossyphus","eatenBy"
"202","Pisaster","Sebastes","eats"
"203","Pisaster","Sebastes","preysOn"
"204","Pycnopodia","Sebastes","eats"
"205","Pycnopodia","Sebastes","preysOn"
"206","Archidistoma","Embiotoca","eatenBy"
"207","Archidistoma","Embiotoca","preyedUponBy"
"208","Archidistoma","Sebastes","eatenBy"
"209","Archidistoma","Sebastes","preyedUponBy"
"210","Bossiella","Girella","eatenBy"
"211","Bossiella","Girella","preyedUponBy"
"212","Callophyllis","Girella","eatenBy"
"213","Callophyllis","Girella","preyedUponBy"
"214","Chondracanthus","Girella","eatenBy"
"215","Chondracanthus","Girella","preyedUponBy"
"216","Chondracanthus","Sebastes","eats"
"217","Corallina","Girella","eatenBy"
"218","Corallina","Girella","preyedUponBy"
"219","Corynactis","Hypsypops","preyedUponBy"
"220","Corynactis","Hypsypops","eatenBy"
"221","Cryptopleura","Girella","eatenBy"
"222","Cryptopleura","Girella","preyedUponBy"
"223","Cystoseira","Girella","eatenBy"
"224","Cystoseira","Girella","preyedUponBy"
"225","Gelidium","Girella","eatenBy"
"226","Gelidium","Girella","preyedUponBy"
"227","Girella","Gracilaria","eats"
"228","Girella","Gracilaria","preysOn"
"229","Girella","Laurencia","eats"
"230","Girella","Laurencia","preysOn"
"231","Girella","Macrocystis","eats"
"232","Girella","Macrocystis","preysOn"
"233","Girella","Pterygophora","eats"
"234","Girella","Pterygophora","preysOn"
"235","Girella","Rhodymenia","eats"
"236","Girella","Rhodymenia","preysOn"
"237","Hypsypops","Spheciospongia","eats"
"238","Hypsypops","Spheciospongia","preysOn"
"239","Embiotoca","Ulva","eats"
"240","Girella","Ulva","eats"
"241","Girella","Ulva","preysOn"
"242","Sebastes","Ulva","eats"
"243","Aglaophenia","Girella","eatenBy"
"244","Aglaophenia","Girella","preyedUponBy"
"245","Aglaophenia","Oxyjulis","eatenBy"
"246","Aglaophenia","Oxyjulis","preyedUponBy"
"247","Dictyota","Girella","eatenBy"
"248","Dictyota","Girella","preyedUponBy"
"249","Girella","Taonia","eats"
"250","Girella","Taonia","preysOn"
"251","Brachyistius","Thalamoporella","eats"
"252","Brachyistius","Thalamoporella","preysOn"
"253","Embiotoca","Thalamoporella","eats"
"254","Embiotoca","Thalamoporella","preysOn"
"255","Hypsurus","Thalamoporella","eats"
"256","Hypsurus","Thalamoporella","preysOn"
"257","Hypsypops","Thalamoporella","eats"
"258","Hypsypops","Thalamoporella","preysOn"
"259","Oxyjulis","Thalamoporella","eats"
"260","Oxyjulis","Thalamoporella","preysOn"
"261","Paralabrax","Thalamoporella","eats"
"262","Paralabrax","Thalamoporella","preysOn"
"263","Rhacochilus","Thalamoporella","interactsWith"
"264","Rhacochilus","Thalamoporella","preysOn"
"265","Sebastes","Thalamoporella","eats"
"266","Sebastes","Thalamoporella","preysOn"
"267","Semicossyphus","Thalamoporella","eats"
"268","Semicossyphus","Thalamoporella","preysOn"
"269","Girella","Polyneura","eats"
"270","Girella","Polyneura","preysOn"
"271","Brachyistius","Bugula","eats"
"272","Brachyistius","Bugula","preysOn"
"273","Bugula","Embiotoca","interactsWith"
"274","Bugula","Embiotoca","eatenBy"
"275","Bugula","Embiotoca","preyedUponBy"
"276","Bugula","Hypsurus","interactsWith"
"277","Bugula","Hypsurus","preyedUponBy"
"278","Bugula","Hypsypops","eatenBy"
"279","Bugula","Hypsypops","preyedUponBy"
"280","Bugula","Oxyjulis","eatenBy"
"281","Bugula","Oxyjulis","preyedUponBy"
"282","Bugula","Paralabrax","eatenBy"
"283","Bugula","Paralabrax","preyedUponBy"
"284","Bugula","Rhacochilus","eatenBy"
"285","Bugula","Rhacochilus","preyedUponBy"
"286","Bugula","Sebastes","eatenBy"
"287","Bugula","Sebastes","preyedUponBy"
"288","Bugula","Semicossyphus","eatenBy"
"289","Bugula","Semicossyphus","preyedUponBy"
"290","Calliarthron","Girella","eatenBy"
"291","Calliarthron","Girella","preyedUponBy"
"292","Brachyistius","Crisia","eats"
"293","Brachyistius","Crisia","preysOn"
"294","Crisia","Embiotoca","eatenBy"
"295","Crisia","Embiotoca","preyedUponBy"
"296","Crisia","Hypsurus","eatenBy"
"297","Crisia","Hypsurus","preyedUponBy"
"298","Crisia","Hypsypops","eatenBy"
"299","Crisia","Hypsypops","preyedUponBy"
"300","Crisia","Oxyjulis","eatenBy"
"301","Crisia","Oxyjulis","preyedUponBy"
"302","Crisia","Paralabrax","eatenBy"
"303","Crisia","Paralabrax","preyedUponBy"
"304","Crisia","Rhacochilus","eatenBy"
"305","Crisia","Rhacochilus","preyedUponBy"
"306","Crisia","Sebastes","eatenBy"
"307","Crisia","Sebastes","preyedUponBy"
"308","Crisia","Semicossyphus","eatenBy"
"309","Crisia","Semicossyphus","preyedUponBy"
"310","Hypsypops","Leucilla","eats"
"311","Hypsypops","Leucilla","preysOn"
"312","Leucilla","Sebastes","eatenBy"
"313","Leucilla","Sebastes","preyedUponBy"
"314","Achillea","Melanoplus","eatenBy"
"315","Ambrosia","Hesperotettix","interactsWith"
"316","Ambrosia","Hesperotettix","eatenBy"
"317","Ambrosia","Melanoplus","interactsWith"
"318","Ambrosia","Melanoplus","eatenBy"
"319","Ambrosia","Campylacantha","interactsWith"
"320","Aristida","Melanoplus","interactsWith"
"321","Artemisia","Hesperotettix","interactsWith"
"322","Artemisia","Hesperotettix","eatenBy"
"323","Artemisia","Hypochlora","eatenBy"
"324","Artemisia","Hypochlora","interactsWith"
"325","Artemisia","Melanoplus","eatenBy"
"326","Artemisia","Melanoplus","interactsWith"
"327","Artemisia","Mermiria","interactsWith"
"328","Artemisia","Phoetaliotes","interactsWith"
"329","Asclepias","Hesperotettix","interactsWith"
"330","Asclepias","Hesperotettix","adjacentTo"
"331","Asclepias","Melanoplus","interactsWith"
"332","Asclepias","Melanoplus","flowersVisitedBy"
"333","Asclepias","Melanoplus","visitedBy"
"334","Bouteloua","Melanoplus","eatenBy"
"335","Bouteloua","Mermiria","eatenBy"
"336","Bouteloua","Orphulella","interactsWith"
"337","Bouteloua","Phoetaliotes","eatenBy"
"338","Bouteloua","Phoetaliotes","interactsWith"
"339","Bouteloua","Syrbula","eatenBy"
"340","Bromus","Hesperotettix","interactsWith"
"341","Bromus","Melanoplus","interactsWith"
"342","Bromus","Mermiria","interactsWith"
"343","Bromus","Phoetaliotes","interactsWith"
"344","Buchloe","Melanoplus","eatenBy"
"345","Buchloe","Mermiria","eatenBy"
"346","Buchloe","Orphulella","interactsWith"
"347","Buchloe","Phoetaliotes","interactsWith"
"348","Buchloe","Phoetaliotes","eatenBy"
"349","Buchloe","Syrbula","eatenBy"
"350","Carex","Melanoplus","interactsWith"
"351","Cirsium","Melanoplus","interactsWith"
"352","Cirsium","Melanoplus","flowersVisitedBy"
"353","Dalea","Hesperotettix","eatenBy"
"354","Dalea","Melanoplus","eatenBy"
"355","Elymus","Melanoplus","interactsWith"
"356","Eragrostis","Melanoplus","eatenBy"
"357","Eragrostis","Melanoplus","interactsWith"
"358","Eragrostis","Mermiria","eatenBy"
"359","Eragrostis","Orphulella","interactsWith"
"360","Eragrostis","Phoetaliotes","eatenBy"
"361","Gaura","Melanoplus","eatenBy"
"362","Hordeum","Melanoplus","interactsWith"
"363","Hordeum","Melanoplus","eatenBy"
"364","Juniperus","Melanoplus","interactsWith"
"365","Juniperus","Melanoplus","adjacentTo"
"366","Juniperus","Melanoplus","visitedBy"
"367","Lespedeza","Melanoplus","interactsWith"
"368","Campylacantha","Lespedeza","interactsWith"
"369","Linum","Phoetaliotes","eatenBy"
"370","Muhlenbergia","Phoetaliotes","eatenBy"
"371","Melanoplus","Oenothera","eats"
"372","Melanoplus","Oenothera","interactsWith"
"373","Campylacantha","Oenothera","eats"
"374","Hesperotettix","Oligoneuron","interactsWith"
"375","Hesperotettix","Oligoneuron","eats"
"376","Melanoplus","Oligoneuron","adjacentTo"
"377","Melanoplus","Oligoneuron","interactsWith"
"378","Melanoplus","Oligoneuron","eats"
"379","Panicum","Phoetaliotes","eatenBy"
"380","Melanoplus","Plantago","interactsWith"
"381","Melanoplus","Poa","interactsWith"
"382","Melanoplus","Poa","eats"
"383","Melanoplus","Psoralea","interactsWith"
"384","Melanoplus","Ratibida","eats"
"385","Melanoplus","Ratibida","visitsFlowersOf"
"386","Hesperotettix","Rhus","interactsWith"
"387","Melanoplus","Rhus","interactsWith"
"388","Melanoplus","Ruellia","visits"
"389","Melanoplus","Schizachyrium","interactsWith"
"390","Melanoplus","Silphium","interactsWith"
"391","Melanoplus","Solanum","eats"
"392","Hesperotettix","Solidago","interactsWith"
"393","Hesperotettix","Solidago","eats"
"394","Melanoplus","Solidago","interactsWith"
"395","Melanoplus","Solidago","adjacentTo"
"396","Melanoplus","Solidago","eats"
"397","Melanoplus","Solidago","visitsFlowersOf"
"398","Melanoplus","Solidago","visits"
"399","Campylacantha","Solidago","interactsWith"
"400","Melanoplus","Sporobolus","eats"
"401","Melanoplus","Sporobolus","interactsWith"
"402","Mermiria","Sporobolus","interactsWith"
"403","Mermiria","Sporobolus","eats"
"404","Orphulella","Sporobolus","interactsWith"
"405","Sporobolus","Syrbula","interactsWith"
"406","Melanoplus","Symphoricarpos","eats"
"407","Hesperotettix","Symphyotrichum","eats"
"408","Melanoplus","Symphyotrichum","eats"
"409","Melanoplus","Ulmus","adjacentTo"
"410","Melanoplus","Vernonia","eats"
"411","Cornus","Melanoplus","flowersVisitedBy"
"412","Glandularia","Melanoplus","eatenBy"
"413","Melanoplus","Monarda","interactsWith"
"414","Hesperotettix","Opuntia","interactsWith"
"415","Melanoplus","Opuntia","interactsWith"
"416","Mermiria","Opuntia","interactsWith"
"417","Opuntia","Syrbula","interactsWith"
"418","Eupatorium","Melanoplus","flowersVisitedBy"
"419","Croton","Melanoplus","eatenBy"
"420","Croton","Phoetaliotes","eatenBy"
"421","Helianthus","Hesperotettix","eatenBy"
"422","Helianthus","Hesperotettix","interactsWith"
"423","Helianthus","Melanoplus","interactsWith"
"424","Helianthus","Melanoplus","eatenBy"
"425","Helianthus","Melanoplus","visitedBy"
"426","Helianthus","Syrbula","interactsWith"
"427","Hesperotettix","Rubus","interactsWith"
"428","Melanoplus","Rubus","interactsWith"
"429","Melanoplus","Rubus","visitsFlowersOf"
"430","Campylacantha","Rubus","interactsWith"
"431","Melanoplus","Senna","eats"
"432","Grindelia","Hesperotettix","interactsWith"
"433","Grindelia","Hesperotettix","eatenBy"
"434","Ageratum","Melanoplus","eatenBy"
"435","Hesperotettix","Medicago","adjacentTo"
"436","Medicago","Melanoplus","interactsWith"
"437","Medicago","Melanoplus","eatenBy"
"438","Medicago","Melanoplus","adjacentTo"
"439","Ageneotettix","Artemisia","interactsWith"
"440","Ageneotettix","Bouteloua","interactsWith"
"441","Ageneotettix","Bouteloua","eats"
"442","Ageneotettix","Buchloe","interactsWith"
"443","Ageneotettix","Buchloe","eats"
"444","Ageneotettix","Cirsium","interactsWith"
"445","Ageneotettix","Digitaria","eats"
"446","Ageneotettix","Hordeum","interactsWith"
"447","Ageneotettix","Juniperus","interactsWith"
"448","Ageneotettix","Sporobolus","eats"
"449","Ageneotettix","Opuntia","interactsWith"
"450","Ageneotettix","Croton","eats"
"451","Conus","Phanerodon","eatenBy"
"452","Conus","Phanerodon","preyedUponBy"
"453","Diopatra","Phanerodon","eatenBy"
"454","Diopatra","Phanerodon","preyedUponBy"
"455","Kelletia","Phanerodon","eatenBy"
"456","Kelletia","Phanerodon","preyedUponBy"
"457","Lytechinus","Phanerodon","eatenBy"
"458","Lytechinus","Phanerodon","preyedUponBy"
"459","Ophioplocus","Phanerodon","eatenBy"
"460","Ophioplocus","Phanerodon","preyedUponBy"
"461","Ophiothrix","Phanerodon","eatenBy"
"462","Ophiothrix","Phanerodon","preyedUponBy"
"463","Phanerodon","Strongylocentrotus","eats"
"464","Phanerodon","Strongylocentrotus","preysOn"
"465","Chromis","Octopus","eatenBy"
"466","Chromis","Octopus","preyedUponBy"
"467","Octopus","Paralabrax","eats"
"468","Octopus","Paralabrax","eatenBy"
"469","Octopus","Paralabrax","preysOn"
"470","Octopus","Paralabrax","preyedUponBy"
"471","Cancer","Phanerodon","eatenBy"
"472","Cancer","Phanerodon","preyedUponBy"
"473","Loxorhynchus","Phanerodon","eatenBy"
"474","Loxorhynchus","Phanerodon","preyedUponBy"
"475","Cancer","Scorpaenichthys","eatenBy"
"476","Cancer","Scorpaenichthys","preyedUponBy"
"477","Loxorhynchus","Scorpaenichthys","eatenBy"
"478","Loxorhynchus","Scorpaenichthys","preyedUponBy"
"479","Octopus","Scorpaenichthys","eatenBy"
"480","Octopus","Scorpaenichthys","preyedUponBy"
"481","Octopus","Scorpaenichthys","interactsWith"
"482","Octopus","Sebastes","eatenBy"
"483","Octopus","Sebastes","preyedUponBy"
"484","Octopus","Semicossyphus","eatenBy"
"485","Octopus","Semicossyphus","preyedUponBy"
"486","Cancer","Ophiodon","eatenBy"
"487","Cancer","Ophiodon","preyedUponBy"
"488","Cancer","Ophiodon","eats"
"489","Octopus","Ophiodon","eatenBy"
"490","Octopus","Ophiodon","preyedUponBy"
"491","Octopus","Oxylebius","eats"
"492","Octopus","Oxylebius","preysOn"
"493","Brachyistius","Dodecaceria","eats"
"494","Brachyistius","Dodecaceria","preysOn"
"495","Chromis","Dodecaceria","eatenBy"
"496","Chromis","Dodecaceria","preyedUponBy"
"497","Dodecaceria","Embiotoca","preyedUponBy"
"498","Dodecaceria","Embiotoca","eatenBy"
"499","Codium","Girella","eatenBy"
"500","Codium","Girella","preyedUponBy"
"501","Dodecaceria","Girella","eats"
"502","Dodecaceria","Girella","preysOn"
"503","Abietinaria","Girella","eatenBy"
"504","Abietinaria","Girella","preyedUponBy"
"505","Girella","Plumularia","eats"
"506","Girella","Plumularia","preysOn"
"507","Dodecaceria","Hypsypops","preyedUponBy"
"508","Dodecaceria","Hypsypops","eatenBy"
"509","Dodecaceria","Oxyjulis","eats"
"510","Dodecaceria","Oxyjulis","preysOn"
"511","Abietinaria","Oxyjulis","eatenBy"
"512","Abietinaria","Oxyjulis","preyedUponBy"
"513","Dodecaceria","Paralabrax","preyedUponBy"
"514","Dodecaceria","Paralabrax","eatenBy"
"515","Pachythyone","Paralabrax","eatenBy"
"516","Pachythyone","Paralabrax","preyedUponBy"
"517","Dodecaceria","Phanerodon","preyedUponBy"
"518","Dodecaceria","Phanerodon","eatenBy"
"519","Phanerodon","Thalamoporella","interactsWith"
"520","Phanerodon","Thalamoporella","preysOn"
"521","Bugula","Phanerodon","eatenBy"
"522","Bugula","Phanerodon","preyedUponBy"
"523","Crisia","Phanerodon","eatenBy"
"524","Crisia","Phanerodon","preyedUponBy"
"525","Dodecaceria","Rhacochilus","preyedUponBy"
"526","Dodecaceria","Rhacochilus","eatenBy"
"527","Dodecaceria","Scorpaenichthys","eatenBy"
"528","Dodecaceria","Scorpaenichthys","preyedUponBy"
"529","Dodecaceria","Sebastes","eatenBy"
"530","Dodecaceria","Sebastes","preysOn"
"531","Dodecaceria","Sebastes","preyedUponBy"
"532","Dodecaceria","Semicossyphus","preyedUponBy"
"533","Dodecaceria","Semicossyphus","eatenBy"
"534","Pachythyone","Semicossyphus","eatenBy"
"535","Pachythyone","Semicossyphus","preyedUponBy"
"536","Dodecaceria","Gibbonsia","preyedUponBy"
"537","Dodecaceria","Gibbonsia","eatenBy"
"538","Dodecaceria","Hypsurus","preyedUponBy"
"539","Dodecaceria","Hypsurus","eatenBy"
"540","Chondracanthus","Ophiodon","interactsWith"
"541","Dodecaceria","Ophiodon","eatenBy"
"542","Dodecaceria","Ophiodon","preyedUponBy"
"543","Dodecaceria","Oxylebius","eats"
"544","Dodecaceria","Oxylebius","preysOn"
"545","Dodecaceria","Oxylebius","preyedUponBy"
"546","Dodecaceria","Oxylebius","eatenBy"
"547","Abietinaria","Oxylebius","eatenBy"
"548","Abietinaria","Oxylebius","preyedUponBy"
"549","Oxylebius","Plumularia","eats"
"550","Oxylebius","Plumularia","preysOn"
"551","Dodecaceria","Rhinogobiops","preyedUponBy"
"552","Dodecaceria","Rhinogobiops","eatenBy"
"553","Cymatogaster","Dodecaceria","eats"
"554","Cymatogaster","Dodecaceria","preysOn"
"555","Anthopleura","Anthopleura","interactsWith"
"556","Anthopleura","Anthopleura","eats"
"557","Anthopleura","Anthopleura","eatenBy"
"558","Anthopleura","Anthopleura","preysOn"
"559","Anthopleura","Anthopleura","preyedUponBy"
"560","Conus","Diopatra","eats"
"561","Conus","Diopatra","preysOn"
"562","Anthopleura","Cypraea","eatenBy"
"563","Anthopleura","Cypraea","preyedUponBy"
"564","Archidistoma","Cypraea","eatenBy"
"565","Archidistoma","Cypraea","preyedUponBy"
"566","Corynactis","Cypraea","eatenBy"
"567","Corynactis","Cypraea","preyedUponBy"
"568","Cypraea","Spheciospongia","eats"
"569","Cypraea","Spheciospongia","preysOn"
"570","Cypraea","Urticina","eats"
"571","Cypraea","Urticina","preysOn"
"572","Cypraea","Dictyota","adjacentTo"
"573","Cypraea","Styela","eats"
"574","Cypraea","Styela","preysOn"
"575","Cypraea","Tethya","eats"
"576","Cypraea","Tethya","preysOn"
"577","Cypraea","Leucilla","eats"
"578","Cypraea","Leucilla","preysOn"
"579","Diopatra","Diopatra","interactsWith"
"580","Diopatra","Macrocystis","interactsWith"
"581","Diopatra","Macrocystis","eats"
"582","Diopatra","Kelletia","interactsWith"
"583","Diopatra","Kelletia","eatenBy"
"584","Diopatra","Kelletia","preyedUponBy"
"585","Kelletia","Parapholas","interactsWith"
"586","Kelletia","Parapholas","eats"
"587","Kelletia","Parapholas","preysOn"
"588","Chaceia","Kelletia","eatenBy"
"589","Chaceia","Kelletia","preyedUponBy"
"590","Kelletia","Styela","interactsWith"
"591","Kelletia","Styela","eats"
"592","Kelletia","Styela","preysOn"
"593","Bossiella","Lithopoma","eatenBy"
"594","Bossiella","Lithopoma","preyedUponBy"
"595","Chondracanthus","Lithopoma","eatenBy"
"596","Chondracanthus","Lithopoma","preyedUponBy"
"597","Corallina","Lithopoma","eatenBy"
"598","Corallina","Lithopoma","preyedUponBy"
"599","Cystoseira","Lithopoma","eatenBy"
"600","Cystoseira","Lithopoma","preyedUponBy"
"601","Gelidium","Lithopoma","eatenBy"
